fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana	RANK					
20230728 165604	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	2723	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,021753404	0,243644603	749	144	32321	 175.009.353,82 	60	1	3	46		2%	100%
20230728 121749	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1740	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,038686947	0,219881004	731	156	32342	 173.314.089,96 	43	2	8	41		3%	98%
20230728 131337	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1414	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020097441	0,230785618	760	121	31662	 172.336.818,59 	47	3	11	54		5%	97%
20230728 173130	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	909	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020084292	0,240144904	676	135	31699	 172.252.085,46 	62	4	26	57		6%	95%
20230728 145515	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1237	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020237947	0,234942778	755	108	34444	 171.217.085,46 	54	5	16	48		8%	94%
20230728 150931	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	893	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020139698	0,231230378	764	104	32037	 170.896.016,49 	55	6	28	53		9%	92%
20230728 140050	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	792	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020088525	0,231840652	712	124	31022	 170.499.517,24 	50	7	33	56		11%	91%
20230728 154105	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1328	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020298831	0,246435538	749	109	31981	 170.456.760,12 	57	8	13	47		12%	89%
20230728 123331	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	1015	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,030451765	0,209602062	732	129	30972	 170.444.299,85 	44	9	23	44		14%	88%
20230728 174644	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	894	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020054485	0,245300533	635	177	30385	 170.433.125,94 	63	10	27	59		15%	86%
20230728 155359	1446	1056322	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0,001	0	0	31	690	1	1	1	FALSE	1	0,1	50	0,5	TRUE	888887	0,020001664	0,247155349	756	171	31475	 170.275.929,54 	58	11	40	62		17%	85%
